episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,collision_count,out_of_range_count,scan_efficiency
1,-0.10,1,4,1,0.07,2026-01-29 16:39:25,0,0,4.00
2,-0.10,1,4,2,0.12,2026-01-29 16:39:25,0,0,4.00
3,-0.10,1,4,3,0.18,2026-01-29 16:39:25,0,0,4.00
4,-0.10,1,4,4,0.24,2026-01-29 16:39:25,0,0,4.00
5,-0.10,1,4,5,0.30,2026-01-29 16:39:25,0,0,4.00
6,-0.10,1,4,6,0.35,2026-01-29 16:39:25,0,0,4.00
7,-0.10,1,4,7,0.41,2026-01-29 16:39:25,0,0,4.00
8,-0.10,1,4,8,0.47,2026-01-29 16:39:25,0,0,4.00
9,-0.10,1,4,9,0.53,2026-01-29 16:39:25,0,0,4.00
10,-0.10,1,4,10,0.58,2026-01-29 16:39:25,0,0,4.00
11,-0.10,1,4,11,0.64,2026-01-29 16:39:25,0,0,4.00
12,1.45,1,4,12,0.70,2026-01-29 16:39:26,0,0,4.00
13,-0.10,1,4,13,0.76,2026-01-29 16:39:26,0,0,4.00
14,-0.10,1,4,14,0.82,2026-01-29 16:39:26,0,0,4.00
15,-0.10,1,4,15,0.88,2026-01-29 16:39:26,0,0,4.00
16,-0.10,1,4,16,0.93,2026-01-29 16:39:26,0,0,4.00
17,-0.10,1,4,17,1.00,2026-01-29 16:39:26,0,0,4.00
18,-0.10,1,4,18,1.05,2026-01-29 16:39:26,0,0,3.80
19,-0.10,1,4,19,1.12,2026-01-29 16:39:26,0,0,3.59
20,-0.10,1,4,20,1.17,2026-01-29 16:39:26,0,0,3.42
21,-0.10,1,4,21,1.23,2026-01-29 16:39:26,0,0,3.24
22,-0.10,1,4,22,1.30,2026-01-29 16:39:26,0,0,3.08
23,-0.10,1,4,23,1.35,2026-01-29 16:39:26,0,0,2.96
24,-0.10,1,4,24,1.41,2026-01-29 16:39:26,0,0,2.84
25,-0.10,1,4,25,1.47,2026-01-29 16:39:26,0,0,2.72
26,1.50,1,4,26,1.52,2026-01-29 16:39:26,0,0,2.63
