episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,collision_count,out_of_range_count,scan_efficiency
1,-30.10,1,5,1,21.59,2026-01-29 14:18:15,0,0,0.23
2,-25.10,1,6,2,21.65,2026-01-29 14:18:15,0,0,0.28
3,-25.10,1,6,3,21.70,2026-01-29 14:18:15,0,0,0.28
4,-19.10,1,6,4,21.77,2026-01-29 14:18:15,0,0,0.28
5,-35.10,1,6,5,21.82,2026-01-29 14:18:15,0,0,0.27
6,-35.10,1,6,6,21.88,2026-01-29 14:18:15,0,0,0.27
7,-29.10,1,6,7,21.94,2026-01-29 14:18:15,0,0,0.27
8,-35.10,1,6,8,22.00,2026-01-29 14:18:15,0,0,0.27
9,-35.10,1,6,9,22.05,2026-01-29 14:18:15,0,0,0.27
10,-29.10,1,6,10,22.11,2026-01-29 14:18:15,0,0,0.27
11,-35.10,1,6,11,22.17,2026-01-29 14:18:15,0,0,0.27
12,-35.10,1,6,12,22.23,2026-01-29 14:18:16,0,0,0.27
13,-29.10,1,6,13,22.28,2026-01-29 14:18:16,0,0,0.27
14,-35.10,1,6,14,22.34,2026-01-29 14:18:16,0,0,0.27
15,-35.10,1,6,15,22.40,2026-01-29 14:18:16,0,0,0.27
16,-29.10,1,6,16,22.46,2026-01-29 14:18:16,0,0,0.27
17,-35.10,1,6,17,22.53,2026-01-29 14:18:16,0,0,0.27
18,-35.10,1,6,18,22.58,2026-01-29 14:18:16,0,0,0.27
19,-29.10,1,6,19,22.64,2026-01-29 14:18:16,0,0,0.26
20,-35.10,1,6,20,22.71,2026-01-29 14:18:16,0,0,0.26
21,-35.10,1,6,21,22.76,2026-01-29 14:18:16,0,0,0.26
22,-29.10,1,6,22,22.82,2026-01-29 14:18:16,0,0,0.26
23,-35.10,1,6,23,22.88,2026-01-29 14:18:16,0,0,0.26
24,-35.10,1,6,24,22.94,2026-01-29 14:18:16,0,0,0.26
25,-29.10,1,6,25,22.99,2026-01-29 14:18:16,0,0,0.26
26,-35.10,1,6,26,23.06,2026-01-29 14:18:16,0,0,0.26
27,-35.10,1,6,27,23.11,2026-01-29 14:18:16,0,0,0.26
28,-29.10,1,6,28,23.17,2026-01-29 14:18:17,0,0,0.26
29,-25.10,1,7,29,23.23,2026-01-29 14:18:17,0,0,0.30
30,-25.10,1,7,30,23.29,2026-01-29 14:18:17,0,0,0.30
31,-19.10,1,7,31,23.34,2026-01-29 14:18:17,0,0,0.30
32,-35.10,1,7,32,23.41,2026-01-29 14:18:17,0,0,0.30
33,-35.10,1,7,33,23.46,2026-01-29 14:18:17,0,0,0.30
34,-29.10,1,7,34,23.53,2026-01-29 14:18:17,0,0,0.30
