episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction
1,-35.10,1,6,46,46.17,2026-01-29 14:09:12,0.13,4.000,2.000,2.000,2.000,2.000
2,-19.10,1,6,46,46.17,2026-01-29 14:09:12,0.13,4.000,2.000,2.000,2.000,2.000
