episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,7,5,5.02,2026-02-04 16:10:37,1.39,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,423.68,20,9,125,125.37,2026-02-04 16:12:38,0.07,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,478.32,19,10,227,227.75,2026-02-04 16:14:20,0.04,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
