episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,4,4,4.01,2026-02-04 20:45:39,1.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,342.66,77,3,104,104.29,2026-02-04 20:47:19,0.03,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,199.74,77,3,204,204.87,2026-02-04 20:49:00,0.01,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
3,266.57,77,5,322,322.65,2026-02-04 20:50:58,0.02,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
4,141.69,27,4,371,371.97,2026-02-04 20:51:47,0.01,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
5,1.89,2,0,376,376.98,2026-02-04 20:51:52,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
