episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,7,5,5.02,2026-02-04 13:00:20,1.39,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,306.88,20,0,81,81.20,2026-02-04 13:01:36,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,1126.69,20,0,158,158.39,2026-02-04 13:02:53,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
3,1033.54,20,2,211,211.50,2026-02-04 13:03:46,0.01,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
