episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,5,6,6.04,2026-02-04 17:02:37,0.83,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,349.82,132,4,233,233.77,2026-02-04 17:06:25,0.02,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,-43703.58,28,4,275,275.99,2026-02-04 17:07:07,0.01,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
