episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,4,5,5.02,2026-02-04 18:28:24,0.80,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,1414.49,244,30,380,380.57,2026-02-04 18:34:39,0.08,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
