episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,4,5,5.01,2026-02-04 11:14:53,0.80,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,317.92,20,0,82,82.35,2026-02-04 11:16:11,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,484.94,20,0,158,158.74,2026-02-04 11:17:27,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
3,1490.44,20,0,236,236.04,2026-02-04 11:18:44,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
4,1064.60,20,1,313,313.30,2026-02-04 11:20:02,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
5,1247.01,20,1,389,389.56,2026-02-04 11:21:18,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
6,604.91,20,0,466,466.87,2026-02-04 11:22:35,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
7,925.08,20,0,543,543.24,2026-02-04 11:23:52,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
8,817.52,20,3,598,598.44,2026-02-04 11:24:47,0.01,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
