timestamp,elapsed_time,scanned_count,unscanned_count,total_count,scan_ratio,global_avg_entropy,global_scan_ratio,entropy_bins,entropy_hist,entropy_cdf,repulsion_coefficient,entropy_coefficient,distance_coefficient,leader_range_coefficient,direction_retention_coefficient,hl_action,hl_goal_x,hl_goal_y,hl_goal_z,algorithm_type,env_type,control_mode,UAV1_x,UAV1_y,UAV1_z,UAV1_roll,UAV1_pitch,UAV1_yaw,UAV2_x,UAV2_y,UAV2_z,UAV2_roll,UAV2_pitch,UAV2_yaw,UAV3_x,UAV3_y,UAV3_z,UAV3_roll,UAV3_pitch,UAV3_yaw,UAV1_battery_voltage,UAV2_battery_voltage,UAV3_battery_voltage
2026-02-04 12:49:35,1.00,4,348,352,1.14%,79.98,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,,,,,hrl_dqn_apf,hierarchical,dqn,-10.000,1.559,-0.758,0.00,0.00,0.00,-14.300,1.561,-0.590,0.00,0.00,0.00,-20.110,1.561,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-02-04 12:49:36,2.07,4,348,352,1.14%,80.15,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,,,,,hrl_dqn_apf,hierarchical,dqn,-10.000,1.559,-0.758,0.00,0.00,0.00,-14.300,1.561,-0.590,0.00,0.00,0.00,-20.110,1.561,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-02-04 12:49:37,3.07,4,349,353,1.13%,80.49,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,,,,,hrl_dqn_apf,hierarchical,dqn,-10.000,1.559,-0.758,0.00,0.00,0.00,-14.300,1.561,-0.590,0.00,0.00,0.00,-20.110,1.561,-0.590,0.00,0.00,0.00,4.200,4.200,4.200
2026-02-04 12:49:38,4.08,4,349,353,1.13%,80.67,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,,,,,hrl_dqn_apf,hierarchical,dqn,-10.000,1.559,-0.758,0.00,0.00,0.00,-14.300,1.561,-0.590,0.00,0.00,0.00,-20.110,1.561,-0.590,0.00,0.00,0.00,4.197,4.197,4.197
2026-02-04 12:49:39,5.09,4,351,355,1.13%,80.84,0.25%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1609, 0, 0, 0]","[0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 0.0024798512089274642, 1.0, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,13,-11.680779999999999,8.0,0.0,hrl_dqn_apf,hierarchical,dqn,-9.989,1.545,-0.758,0.00,0.00,0.00,-14.310,1.548,-0.590,0.00,0.00,0.00,-20.110,1.548,-0.600,0.00,0.00,0.00,4.194,4.194,4.194
2026-02-04 12:49:41,7.36,7,350,357,1.96%,81.04,0.43%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1261, 345, 0, 0]","[0.0037197768133911966, 0.0037197768133911966, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.0043397396156230625, 0.7861128332300062, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,13,-11.680779999999999,8.0,0.0,hrl_dqn_apf,hierarchical,dqn,-9.018,1.502,-0.797,0.00,0.00,0.00,-15.278,1.505,-0.551,0.00,0.00,0.00,-20.110,1.504,-1.569,0.00,0.00,0.00,4.191,4.191,4.191
2026-02-04 12:49:42,8.37,8,355,363,2.20%,81.49,0.50%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[7, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1260, 344, 0, 0]","[0.0043397396156230625, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.7867327960322381, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,19,-5.52075,8.0,6.0,hrl_dqn_apf,hierarchical,dqn,-8.534,1.856,-0.816,0.00,0.00,0.00,-15.759,1.861,-0.532,0.00,0.00,0.00,-20.110,1.456,-1.733,0.00,0.00,0.00,4.184,4.184,4.184
2026-02-04 12:49:43,9.37,8,357,365,2.19%,81.67,0.50%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[7, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1258, 346, 0, 0]","[0.0043397396156230625, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.7854928704277744, 1.0, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,18,-11.2804,8.0,6.0,hrl_dqn_apf,hierarchical,dqn,-8.593,2.231,-0.814,0.00,0.00,0.00,-15.530,1.916,-0.485,0.00,0.00,0.00,-20.274,1.471,-1.746,0.00,0.00,0.00,4.181,4.181,4.181
2026-02-04 12:49:44,10.37,9,360,369,2.44%,81.81,0.56%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[6, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1256, 7, 340, 0]","[0.0037197768133911966, 0.0049597024178549285, 0.0049597024178549285, 0.0049597024178549285, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.7848729076255425, 0.7892126472411656, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,18,-11.2804,8.0,6.0,hrl_dqn_apf,hierarchical,dqn,-8.612,2.619,-0.813,0.00,0.00,0.00,-15.058,2.166,-0.352,0.00,0.00,0.00,-20.706,1.716,-1.747,0.00,0.00,0.00,4.178,4.178,4.178
2026-02-04 12:49:45,11.38,9,360,369,2.44%,81.97,0.56%,"[0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[5, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1256, 7, 340, 0]","[0.0030998140111593306, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.005579665220086794, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.006199628022318661, 0.7848729076255425, 0.7892126472411656, 1.0, 1.0]",4.0,2.0,2.0,2.0,2.0,9,-5.119990000000001,8.0,-6.0,hrl_dqn_apf,hierarchical,dqn,-8.617,3.010,-0.813,0.00,0.00,0.00,-14.848,2.577,-0.291,0.00,0.00,0.00,-20.913,2.128,-1.768,0.00,0.00,0.00,4.175,4.175,4.175
