episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,5,5,5.03,2026-02-04 13:43:29,0.99,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,174.08,15,27,27,27.17,2026-02-04 13:43:51,0.99,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
