episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,5,5,5.03,2026-02-04 13:08:24,0.99,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,416.50,20,0,80,80.21,2026-02-04 13:09:39,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,531.17,20,0,157,157.40,2026-02-04 13:10:56,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
3,1536.46,19,14,185,185.46,2026-02-04 13:11:24,0.08,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
