episode,reward,length,scanned_cells,timestep,elapsed_time,timestamp,scan_efficiency,avg_repulsion,avg_entropy,avg_distance,avg_leader,avg_direction,algorithm_type,env_type,control_mode
0,0.00,1,7,5,5.01,2026-02-04 13:13:41,1.40,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
1,338.71,20,0,81,81.19,2026-02-04 13:14:57,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
2,1128.93,20,0,158,158.38,2026-02-04 13:16:15,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
3,1958.42,20,0,235,235.59,2026-02-04 13:17:32,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
4,915.51,20,0,311,311.78,2026-02-04 13:18:48,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
5,1560.55,20,0,388,388.97,2026-02-04 13:20:05,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
6,1190.39,20,0,465,465.15,2026-02-04 13:21:21,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
7,1213.72,20,0,542,542.35,2026-02-04 13:22:39,0.00,4.000,2.000,2.000,2.000,2.000,hrl_dqn_apf,hierarchical,dqn
